Nombre,Direccion,Ciudad,Pais,Precio,Tipos_Cocina,Ideales,Valoracion
Schatzhauser,Tonbachstraße 237; Baiersbronn; 72270; Alemania,Baiersbronn,Alemania,1,Internacional; Regional,Terraza agradable;Familiar,0
Le Bistro des Glycines,4 avenue de Laugerie; Les Eyzies-de-Tayac-Sireuil; 24620; Francia,Les Eyzies-de-Tayac-Sireuil,Francia,1,Moderna,Terraza agradable;Productos locales,0
Grain Street,167 Merchants Street; La Valeta; VLT 1174; Malta,La Valeta,Malta,1,Moderna; Cocina mediterránea,Terraza agradable;Comer solo,0
Somiatruites,Del Sol 19; Igualada; 08700; España,Igualada,España,0,Actual,,0
Balbuena y Huertas,San Jacinto 89; Sevilla; 41010; España,Sevilla,España,1,Actual,,0
Oriole Garden Bistro,Oudezijds Voorburgwal 197; Amsterdam; 1012 EX; Holanda,Amsterdam,Holanda,1,Cocina mediterránea,,0
Brasserie Marie,Nieuwe Doelenstraat 2; Amsterdam; 1012 AC; Holanda,Amsterdam,Holanda,1,Clásica,Terraza agradable;Comer solo,0
Indocafé,35 Scotts Road; Singapore; 228227; Singapur,Singapore,Singapur,1,Peranakan,Familiar,0
Zhup Zhup,#01-01; 458 MacPherson Road; Singapore; 368176; Singapur,Singapore,Singapur,0,Noodles,,0
The Coconut Club (Beach Road),269 Beach Road; Singapore; 199546; Singapur,Singapore,Singapur,1,Malaya,Terraza agradable,0
The Blue Ginger,97 Tanjong Pagar Road; Singapore; 088518; Singapur,Singapore,Singapur,1,Peranakan,Cocina local,0
Muthu's Curry,#01-01; 138 Race Course Road; Singapore; 218591; Singapur,Singapore,Singapur,1,Hindú,,0
Kotuwa,New Bahru; #01-03; 46 Kim Yam Road; Singapore; 239351; Singapur,Singapore,Singapur,1,Cocina de Sri Lanka,Familiar;Grupos,0
Anglo Indian (Shenton Way),#01-08; 1 Shenton Way; Singapore; 068803; Singapur,Singapore,Singapur,1,Hindú,Terraza agradable;Familiar,0
True Blue Cuisine,47/49 Armenian Street; Singapore; 179937; Singapur,Singapore,Singapur,1,Peranakan,Familiar;Grupos,0
Lagnaa,6 Upper Dickson Road; Singapore; 207466; Singapur,Singapore,Singapur,1,Hindú,,0
Saffron Fine Indian Cuisine,38-6 Tianmu East Road; Shilin District; Taipei; 111; Taiwán,Taipei,Taiwán,1,Hindú,,0
Tien Hsia San Chueh,3; Lane 27; Section 4; Ren'ai Road; Da'an District; Taipei; 106; Taiwán,Taipei,Taiwán,1,Noodles,,0
Little Tree Food (Da'an Road),17; Lane 116; Section 1; Da'an Road; Da'an District; Taipei; Taiwán,Taipei,Taiwán,1,Vegetariana,,0
Ching Jiao,9; Section 2; Jinan Road; Zhongzheng District; Taipei; Taiwán,Taipei,Taiwán,1,Small eats,,0
Shin Yuan (West),106 Minsheng North Road; West District; Taichung; 403; Taiwán,Taichung,Taiwán,1,Taiwanesa,Familiar,0
Peng Cheng Tang,377 Yichang Road; Taiping District; Taichung; 411; Taiwán,Taichung,Taiwán,1,Taiwanesa,Familiar,0
Izakaya,Selska cesta 90b; Zagreb; 10000; Croacia,Zagreb,Croacia,1,Japonesa contemporánea; Japonesa,Familiar;Cocina local,0
Bistro Loora,Ul. Ivana Pavla II 5; Đakovo; 31400; Croacia,Đakovo,Croacia,0,Croata; Actual,Terraza agradable;Cocina local,0
Taj Mahal,Nikole Gučetića 2; Dubrovnik; 20000; Croacia,Dubrovnik,Croacia,1,Balcánica; Carnes a la parrilla,Familiar,0
Bombera,3459 Champion St.; Oakland; CA; 94602; Estados Unidos,Oakland,Estados Unidos,1,Mexicana; Californiana,,0
Valley,487 1st St. W.; Sonoma; CA; 95476; Estados Unidos,Sonoma,Estados Unidos,1,Californiana,,0
Vin Folk,1501 Hermosa Ave.; Hermosa Beach; CA; 90254; Estados Unidos,Hermosa Beach,Estados Unidos,2,Californiana; Actual,Romántico;Cocina local,0
Rasarumah,3107 Beverly Blvd.; Los Angeles; CA; 90026; Estados Unidos,Los Angeles,Estados Unidos,2,Malaya,Grupos,0
Dija Mara,232 S. Coast Hwy.; Oceanside; CA; 92054; Estados Unidos,Oceanside,Estados Unidos,1,Indonesia; Thailandesa y Vietnamita,,0
Pizzana,11712 San Vicente Blvd.; Los Angeles; CA; 90049; Estados Unidos,Los Angeles,Estados Unidos,1,Italiana; Pizza,Grupos,0
Izakaya Rintaro,82 14th St.; San Francisco; CA; 94103; Estados Unidos,San Francisco,Estados Unidos,1,Japonesa; Izakaya,,0
A16,2355 Chestnut St.; San Francisco; CA; 94123; Estados Unidos,San Francisco,Estados Unidos,1,Pizza; Italiana,,0
Callie,1195 Island Ave.; San Diego; CA; 92101; Estados Unidos,San Diego,Estados Unidos,1,Cocina mediterránea; Cocina de Oriente Medio,,0
Pausa,223 E. 4th Ave.; San Mateo; CA; 94401; Estados Unidos,San Mateo,Estados Unidos,1,Italiana; Regional,,0
Chifa,4374 Eagle Rock Blvd.; Los Angeles; CA; 90041; Estados Unidos,Los Angeles,Estados Unidos,1,Fusión; China,Familiar;Cocina local,0
Khan Saab Desi Craft Kitchen,229 E. Commonwealth Ave.; Ste. A; Fullerton; CA; 92832; Estados Unidos,Fullerton,Estados Unidos,1,Pakistaní; Hindú,,0
Lapaba,558 S. Western Ave.; Los Angeles; CA; 90020; Estados Unidos,Los Angeles,Estados Unidos,1,Italiana contemporánea; Coreana,Comer solo,0
Z & Y,655 Jackson St.; San Francisco; CA; 94133; Estados Unidos,San Francisco,Estados Unidos,1,China; Cocina de Sichuan,Familiar;Cocina local,0
Ramen Gaijin,6948 Sebastopol Ave.; Sebastopol; CA; 95472; Estados Unidos,Sebastopol,Estados Unidos,1,Japonesa; Ramen,,0
Canon,1719 34th St.; Sacramento; CA; 95816; Estados Unidos,Sacramento,Estados Unidos,1,Actual,,0
Loquita,202 State St.; Santa Barbara; CA; 93101; Estados Unidos,Santa Barbara,Estados Unidos,1,Española,,0
Mabel’s Gone Fishing,3770 30th St.; San Diego; CA; 92104; Estados Unidos,San Diego,Estados Unidos,1,Pescados y mariscos; Californiana,,0
Cobi's,2104 Main St.; Santa Monica; CA; 90405; Estados Unidos,Santa Monica,Estados Unidos,1,Asiática,Terraza agradable,0
Good Good Culture Club,3560 18th St.; San Francisco; CA; 94110; Estados Unidos,San Francisco,Estados Unidos,1,Cocina del Sudeste Asiático; Californiana,,0
Snail Bar,4935 Shattuck Ave.; Oakland; CA; 94609; Estados Unidos,Oakland,Estados Unidos,2,Actual; Californiana,,0
Eylan,500 El Camino Real; Menlo Park; CA; 94025; Estados Unidos,Menlo Park,Estados Unidos,1,Hindú; Californiana,,0
Fable & Spirit,3441 Via Lido; Ste. A; Newport Beach; CA; 92663; Estados Unidos,Newport Beach,Estados Unidos,1,Californiana; Americana,Cocina local,0
Citurna,el Moral 1; Playa Blanca; 35580; España,Playa Blanca,España,1,Fusión,Terraza agradable,0
Trü,Còrsega 232; Barcelona; 08036; España,Barcelona,España,1,Tradicional; Actual,,0
Lado,Porqueiros 30; Muiños; 32880; España,Muiños,España,1,Actual,Favorito del inspector,0
Mesa15,Estrada da Estação; 12; Leiria; 2415-408; Portugal,Leiria,Portugal,1,Moderna,Tendencia,0
UMO Alex Vall,Reus 25; Barcelona; 08022; España,Barcelona,España,3,Japonesa,,0
Santé,Avenida Juan XXIII 12; Leganés; 28918; España,Leganés,España,1,Moderna,Romántico;Familiar,0
Solar do Bacalhau,Rua da Sota 10; Coímbra; 3000-392; Portugal,Coímbra,Portugal,0,Portuguesa,Grupos,0
In-Pulso,Ariel 15; Madrid; 28045; España,Madrid,España,1,Actual,Cocina local,0
La Martina,La Noria 8; Tarancón; 16400; España,Tarancón,España,1,Tradicional,Familiar,0
Trèsde,Cava Alta 17; Madrid; 28005; España,Madrid,España,1,Actual,,0
Sisapo,Trafalgar 14; Madrid; 28010; España,Madrid,España,1,Fusión,,0
Varra,Hermosilla 7; Madrid; 28001; España,Madrid,España,2,Actual,,0
Manifesto 13,Hartzenbusch 12; Madrid; 28010; España,Madrid,España,1,Italiana,Romántico,0
La Montería,Lope de Rueda 35; Madrid; 28009; España,Madrid,España,1,Tradicional,Familiar,0
3 Pipos,Rua de Santo Amaro 966; Tonda; 3460-479; Portugal,Tonda,Portugal,1,Regional,Cocina local,0
La Barra de la Tasquería,Duque de Sesto 48; Madrid; 28009; España,Madrid,España,1,Tradicional,,0
Tres por Cuatro,Montesa 9; Madrid; 28006; España,Madrid,España,1,Actual,,0
Gala,Espronceda 14; Madrid; 28003; España,Madrid,España,1,Cocina de mercado,,0
Las Tortillas de Gabino,Rafael Calvo 20; Madrid; 28010; España,Madrid,España,1,Tradicional,,0
Bacira,Castillo 16; Madrid; 28010; España,Madrid,España,1,Fusión,,0
Treze,General Pardiñas 34; Madrid; 28001; España,Madrid,España,1,Cocina de temporada,,0
La MaMá,Avenida del Brasil 6; Madrid; 28020; España,Madrid,España,1,Tradicional,,0
Quinqué,Apolonio Morales 3; Madrid; 28036; España,Madrid,España,1,Tradicional,Cocina local,0
Olaias,Rua Abade Pedro 2 - Centro de Artes e Espectáculos; Figueira da Foz; 3080 081; Portugal,Figueira da Foz,Portugal,1,Arroces; Portuguesa,Familiar,0
Bambú,Prior 4; Salamanca; 37002; España,Salamanca,España,1,Actual; Tradicional,,0
Flora,Grão Vasco 21; Viseu; 3500-138; Portugal,Viseu,Portugal,1,Moderna,Terraza agradable;Productos locales,0
La Sartén,Sector de los Pueblos 2; Tres Cantos; 28760; España,Tres Cantos,España,1,Fusión,,0
Eximio by Fernando Martín,Victoria 2; Alcalá de Henares; 28802; España,Alcalá de Henares,España,1,Actual,Familiar,0
Malabar Bistró Nómada,Real 14; Becerril de la Sierra; 28490; España,Becerril de la Sierra,España,1,Actual,,0
O Típico,Rua Doutor Manuel Alegre 42; Águeda; 3750-139; Portugal,Águeda,Portugal,0,Tradicional,,0
Loreto,Canalejas 73; Jumilla; 30520; España,Jumilla,España,1,Actual,,0
La Fundición,Plazuela de la Calandria 1; Real Sitio de San Ildefonso; 40100; España,Real Sitio de San Ildefonso,España,1,Actual; Moderna,Un clásico;Romántico,0
Perro Limón,Plaza de San Juan 6; Murcia; 30003; España,Murcia,España,1,Fusión,,0
Tándem,Cánovas del Castillo 37; Murcia; 30003; España,Murcia,España,1,Cocina mediterránea,,0
Dóri,Rua das Companhas - Costa Nova do Prado; Gafanha da Encarnação; 3830-000; Portugal,Gafanha da Encarnação,Portugal,1,Pescados y mariscos,Terraza agradable;Cocina local,0
Caín,del Río 11; Nava del Rey; 47500; España,Nava del Rey,España,1,A la Parrilla,Tendencia,0
El Racó de Pere i Pepa,Carretera de Jumilla 26; El Pinós; 03650; España,El Pinós,España,1,Tradicional,Familiar,0
Olea Comedor,Avenida Castilla-La Mancha 3; Cuenca; 16002; España,Cuenca,España,0,Moderna; Fusión,,0
Elías,Rosers 7; Xinorlet; 03649; España,Xinorlet,España,1,A la Parrilla,Cocina local,0
El Buey,La Reina 94; Almoradí; 03160; España,Almoradí,España,1,Tradicional,Cocina local,0
Mesón Nelia,Carretera Cuenca-Tragacete; Villalba de la Sierra; 16140; España,Villalba de la Sierra,España,1,Actual,,0
Pinea,Parras 10; Ayora; 46620; España,Ayora,España,1,Actual; Regional,Cocina local,0
Frisone,Borreguet 4; Elche; 03203; España,Elche,España,1,Tradicional; Actual,Terraza agradable,0
Pátio 44,Passeio De São Lázaro; 44; Oporto; 4000 508; Portugal,Oporto,Portugal,0,Tradicional,Terraza agradable;Romántico,0
OMA,Rua De Oliveira Monteiro; 183; Oporto; 4050-442; Portugal,Oporto,Portugal,1,Actual; Tradicional,Cocina local,0
La Cocina de Manuel,Álvarez Taladriz 4; Valladolid; 47007; España,Valladolid,España,1,Tradicional; Moderna,Familiar,0
El Yantar La Cocina de Pilar,Plaza de Albornoz 8; Requena; 46340; España,Requena,España,0,Fusión; Tradicional,,0
Machado,Rua Doutor António José de Almeida 467; Maia; 4475-456; Portugal,Maia,Portugal,0,Tradicional,Cocina local,0
Tábula Rasa,Alberola 57; Alacant; 03007; España,Alacant,España,1,Tradicional,Romántico;Familiar,0
Norma,Rua Doutor José Sampaio 35; Guimaraes; 4810 275; Portugal,Guimarães,Portugal,1,Creativa; Portuguesa,Terraza agradable,0
Contradição,Rua da Cidadela; 92; Bragança; 5300 025; Portugal,Bragança,Portugal,1,Tradicional,,0
Alba,Virgen del Socorro 68; Alacant; 03002; España,Alacant,España,0,Cocina mediterránea,Tendencia,0
Casa el Tio David,Bancal del Clot 2; Alfafara; 03838; España,Alfafara,España,1,Regional; Cocina mediterránea,Cocina local,0
